time,lat,lon,precip_mm_day,year,month,days_in_month,precip_mm_month,departamento
2017-03-01,4.5,-75.5,6.877387082458238,2017,3,31,213.1989995562054,Quindío
2017-04-01,4.5,-75.5,5.914017489491051,2017,4,30,177.42052468473153,Quindío
2017-05-01,4.5,-75.5,6.814066978245348,2017,5,31,211.2360763256058,Quindío
2017-06-01,4.5,-75.5,4.904503568370994,2017,6,30,147.1351070511298,Quindío
2017-07-01,4.5,-75.5,0.920604651322174,2017,7,31,28.538744190987394,Quindío
2017-08-01,4.5,-75.5,2.4963218685825614,2017,8,31,77.38597792605941,Quindío
2017-09-01,4.5,-75.5,3.470568853758192,2017,9,30,104.11706561274575,Quindío
2017-10-01,4.5,-75.5,4.9925069863640035,2017,10,31,154.76771657728412,Quindío
2017-11-01,4.5,-75.5,3.940801374500374,2017,11,30,118.22404123501121,Quindío
2017-12-01,4.5,-75.5,1.9226940857566737,2017,12,31,59.60351665845688,Quindío
2000-01-01,-1.5,-79.5,1.103035551502732,2000,1,31,34.194102096584686,Nariño
2000-01-01,-1.5,-78.5,0.639103675659224,2000,1,31,19.812213945435943,Nariño
2000-01-01,-1.5,-77.5,2.810561643527052,2000,1,31,87.12741094933861,Nariño
2000-01-01,-1.5,-76.5,4.146287047059573,2000,1,31,128.53489845884678,Nariño
2000-01-01,-0.5,-79.5,0.7197827452799748,2000,1,31,22.313265103679218,Nariño
2000-01-01,-0.5,-78.5,0.34534967926634774,2000,1,31,10.70584005725678,Nariño
2000-01-01,-0.5,-77.5,3.073675919473229,2000,1,31,95.28395350367009,Nariño
2000-01-01,-0.5,-76.5,5.65564082377364,2000,1,31,175.32486553698286,Nariño
2000-01-01,0.5,-79.5,0.9621739309965387,2000,1,31,29.8273918608927,Nariño
2000-01-01,0.5,-78.5,1.4021486320517307,2000,1,31,43.46660759360365,Nariño
2000-01-01,0.5,-77.5,3.876656713258513,2000,1,31,120.1763581110139,Nariño
2000-01-01,0.5,-76.5,4.032751997500792,2000,1,31,125.01531192252456,Nariño
2000-01-01,1.5,-79.5,5.254367763836077,2000,1,31,162.8854006789184,Nariño
2000-01-01,1.5,-78.5,3.8588148444335566,2000,1,31,119.62326017744026,Nariño
2000-01-01,1.5,-77.5,2.1280620415762517,2000,1,31,65.9699232888638,Nariño
2000-01-01,1.5,-76.5,0.4964210613932396,2000,1,31,15.389052903190429,Nariño
2000-02-01,-1.5,-79.5,3.5044893464909808,2000,2,29,101.63019104823844,Nariño
2000-02-01,-1.5,-78.5,3.6729114600139763,2000,2,29,106.5144323404053,Nariño
2000-02-01,-1.5,-77.5,5.750057591663278,2000,2,29,166.75167015823507,Nariño
2000-02-01,-1.5,-76.5,4.30538180565953,2000,2,29,124.85607236412636,Nariño
2000-02-01,-0.5,-79.5,6.895893674962692,2000,2,29,199.98091657391808,Nariño
2000-02-01,-0.5,-78.5,3.3296959700952264,2000,2,29,96.56118313276157,Nariño
2000-02-01,-0.5,-77.5,3.422430672701079,2000,2,29,99.2504895083313,Nariño
2000-02-01,-0.5,-76.5,3.46263801865555,2000,2,29,100.41650254101096,Nariño
2000-02-01,0.5,-79.5,8.242244380663404,2000,2,29,239.0250870392387,Nariño
2000-02-01,0.5,-78.5,2.5432717287431905,2000,2,29,73.75488013355252,Nariño
2000-02-01,0.5,-77.5,1.8829445720720464,2000,2,29,54.605392590089345,Nariño
2000-02-01,0.5,-76.5,3.289011199922431,2000,2,29,95.3813247977505,Nariño
2000-02-01,1.5,-79.5,10.823101752502907,2000,2,29,313.8699508225843,Nariño
2000-02-01,1.5,-78.5,7.459446444439029,2000,2,29,216.32394688873185,Nariño
2000-02-01,1.5,-77.5,3.166961108708013,2000,2,29,91.84187215253237,Nariño
2000-02-01,1.5,-76.5,0.63514053209288,2000,2,29,18.41907543069352,Nariño
2000-03-01,-1.5,-79.5,2.6217357271434287,2000,3,31,81.27380754144629,Nariño
2000-03-01,-1.5,-78.5,0.6735647254579442,2000,3,31,20.88050648919627,Nariño
2000-03-01,-1.5,-77.5,6.763873003449256,2000,3,31,209.68006310692695,Nariño
2000-03-01,-1.5,-76.5,3.3415958873088214,2000,3,31,103.58947250657346,Nariño
2000-03-01,-0.5,-79.5,9.767819326361938,2000,3,31,302.8023991172201,Nariño
2000-03-01,-0.5,-78.5,0.8654560244950262,2000,3,31,26.829136759345815,Nariño
2000-03-01,-0.5,-77.5,5.450597740022184,2000,3,31,168.96852994068772,Nariño
2000-03-01,-0.5,-76.5,5.676340890821242,2000,3,31,175.9665676154585,Nariño
2000-03-01,0.5,-79.5,7.648922190965102,2000,3,31,237.11658791991817,Nariño
2000-03-01,0.5,-78.5,4.34266111724086,2000,3,31,134.62249463446668,Nariño
2000-03-01,0.5,-77.5,3.0007415564422253,2000,3,31,93.02298824970899,Nariño
2000-03-01,0.5,-76.5,8.180909829405667,2000,3,31,253.6082047115757,Nariño
2000-03-01,1.5,-79.5,4.159904890992951,2000,3,31,128.95705162078147,Nariño
2000-03-01,1.5,-78.5,8.363696650922748,2000,3,31,259.2745961786052,Nariño
2000-03-01,1.5,-77.5,4.774593379340201,2000,3,31,148.01239475954625,Nariño
2000-03-01,1.5,-76.5,5.2924687678237134,2000,3,31,164.0665318025351,Nariño
2000-04-01,-1.5,-79.5,1.8957066741553075,2000,4,30,56.871200224659226,Nariño
2000-04-01,-1.5,-78.5,3.8329935315708252,2000,4,30,114.98980594712475,Nariño
2000-04-01,-1.5,-77.5,9.44520410087454,2000,4,30,283.35612302623616,Nariño
2000-04-01,-1.5,-76.5,3.583614423539177,2000,4,30,107.50843270617531,Nariño
2000-04-01,-0.5,-79.5,9.429264748073148,2000,4,30,282.87794244219447,Nariño
