departamento,municipio,año,area_cosechada_ha,produccion_t,rendimiento_kg_ha,anio
Narino,SAN BERNARDO,2013,314.0,360.0,1150.0,2013
Narino,ANCUYA,2013,278.0,254.0,920.0,2013
Narino,PASTO,2013,241.0,184.0,760.0,2013
Narino,LA CRUZ,2013,150.0,92.0,610.0,2013
Narino,SANTACRUZ,2013,117.0,72.0,610.0,2013
Narino,FUNES,2013,96.0,55.0,570.0,2013
Narino,GUAITARILLA,2013,87.0,53.0,610.0,2013
Narino,TANGUA,2013,76.0,88.0,1150.0,2013
Narino,PROVIDENCIA,2013,53.0,25.0,470.0,2013
Narino,CUMBITARA,2013,52.0,32.0,610.0,2013
Narino,MALLAMA,2013,44.0,34.0,760.0,2013
Narino,TUQUERRES,2013,25.0,17.0,690.0,2013
Narino,ILES,2013,7.0,6.0,760.0,2013
Narino,IMUES,2013,9.0,8.0,920.0,2013
Narino,RICAURTE,2013,10.0,12.0,1150.0,2013
Narino,LA UNION,2014,4207.0,4518.0,1070.0,2014
Narino,SAN LORENZO,2014,3066.0,3799.0,1240.0,2014
Narino,BUESACO,2014,2745.0,2721.0,990.0,2014
Narino,COLON,2014,2087.0,2414.0,1160.0,2014
Narino,EL TABLON,2014,1639.0,1354.0,830.0,2014
Narino,ARBOLEDA,2014,1674.0,1106.0,660.0,2014
Narino,ALBAN,2014,1632.0,1752.0,1070.0,2014
Narino,CONSACA,2014,1580.0,1567.0,990.0,2014
Narino,TAMINANGO,2014,1582.0,1045.0,660.0,2014
Narino,SANDONA,2014,1376.0,1137.0,830.0,2014
Narino,SAMANIEGO,2014,1486.0,1105.0,740.0,2014
Narino,LA FLORIDA,2014,1193.0,1380.0,1160.0,2014
Narino,SAN PABLO,2014,1003.0,994.0,990.0,2014
Narino,LOS ANDES,2014,881.0,728.0,830.0,2014
Narino,EL ROSARIO,2014,833.0,895.0,1070.0,2014
Narino,LEIVA,2014,831.0,999.0,1200.0,2014
Narino,SAN PEDRO DE CARTAGO,2014,827.0,683.0,830.0,2014
Narino,EL TAMBO,2014,780.0,644.0,830.0,2014
Narino,LINARES,2014,763.0,567.0,740.0,2014
Narino,EL PEÑOL,2014,708.0,612.0,870.0,2014
